mwana	child; offspring
uchamukira	you (singular) will wake up; rise (to v for / at / on behalf of) (conjugation: future tense)
anomukira	he/she/it wake up; rise (to v for / at / on behalf of) (conjugation: present habitual tense)
arikumukira	he/she/it is currently wake up; rise (to v for / at / on behalf of) (conjugation: progressive tense)
amukira	he/she/it wake up; rise (to v for / at / on behalf of) recently (conjugation: near past tense)
akamukira	he/she/it wake up; rise (to v for / at / on behalf of) (conjugation: remote past tense)
achamukira	he/she/it will wake up; rise (to v for / at / on behalf of) (conjugation: future tense)
tinomukira	we wake up; rise (to v for / at / on behalf of) (conjugation: present habitual tense)
tirikumukira	we are currently wake up; rise (to v for / at / on behalf of) (conjugation: progressive tense)
tamukira	we wake up; rise (to v for / at / on behalf of) recently (conjugation: near past tense)
takamukira	we wake up; rise (to v for / at / on behalf of) (conjugation: remote past tense)
tichamukira	we will wake up; rise (to v for / at / on behalf of) (conjugation: future tense)
munomukira	you (plural) wake up; rise (to v for / at / on behalf of) (conjugation: present habitual tense)
murikumukira	you (plural) are currently wake up; rise (to v for / at / on behalf of) (conjugation: progressive tense)
mamukira	you (plural) wake up; rise (to v for / at / on behalf of) recently (conjugation: near past tense)
makamukira	you (plural) wake up; rise (to v for / at / on behalf of) (conjugation: remote past tense)
muchamukira	you (plural) will wake up; rise (to v for / at / on behalf of) (conjugation: future tense)
vanomukira	they wake up; rise (to v for / at / on behalf of) (conjugation: present habitual tense)
varikumukira	they are currently wake up; rise (to v for / at / on behalf of) (conjugation: progressive tense)
vamukira	they wake up; rise (to v for / at / on behalf of) recently (conjugation: near past tense)
vakamukira	they wake up; rise (to v for / at / on behalf of) (conjugation: remote past tense)
vachamukira	they will wake up; rise (to v for / at / on behalf of) (conjugation: future tense)
ndinomukura	I wake up; rise (to un-v; reverse the action of v) (conjugation: present habitual tense)
ndirikumukura	I am currently wake up; rise (to un-v; reverse the action of v) (conjugation: progressive tense)
ndamukura	I wake up; rise (to un-v; reverse the action of v) recently (conjugation: near past tense)
ndakamukura	I wake up; rise (to un-v; reverse the action of v) (conjugation: remote past tense)
ndichamukura	I will wake up; rise (to un-v; reverse the action of v) (conjugation: future tense)
unomukura	you (singular) wake up; rise (to un-v; reverse the action of v) (conjugation: present habitual tense)
urikumukura	you (singular) are currently wake up; rise (to un-v; reverse the action of v) (conjugation: progressive tense)
wamukura	you (singular) wake up; rise (to un-v; reverse the action of v) recently (conjugation: near past tense)
wakamukura	you (singular) wake up; rise (to un-v; reverse the action of v) (conjugation: remote past tense)
uchamukura	you (singular) will wake up; rise (to un-v; reverse the action of v) (conjugation: future tense)
anomukura	he/she/it wake up; rise (to un-v; reverse the action of v) (conjugation: present habitual tense)
arikumukura	he/she/it is currently wake up; rise (to un-v; reverse the action of v) (conjugation: progressive tense)
amukura	he/she/it wake up; rise (to un-v; reverse the action of v) recently (conjugation: near past tense)
akamukura	he/she/it wake up; rise (to un-v; reverse the action of v) (conjugation: remote past tense)
achamukura	he/she/it will wake up; rise (to un-v; reverse the action of v) (conjugation: future tense)
tinomukura	we wake up; rise (to un-v; reverse the action of v) (conjugation: present habitual tense)
tirikumukura	we are currently wake up; rise (to un-v; reverse the action of v) (conjugation: progressive tense)
tamukura	we wake up; rise (to un-v; reverse the action of v) recently (conjugation: near past tense)
takamukura	we wake up; rise (to un-v; reverse the action of v) (conjugation: remote past tense)
tichamukura	we will wake up; rise (to un-v; reverse the action of v) (conjugation: future tense)
munomukura	you (plural) wake up; rise (to un-v; reverse the action of v) (conjugation: present habitual tense)
murikumukura	you (plural) are currently wake up; rise (to un-v; reverse the action of v) (conjugation: progressive tense)
mamukura	you (plural) wake up; rise (to un-v; reverse the action of v) recently (conjugation: near past tense)
makamukura	you (plural) wake up; rise (to un-v; reverse the action of v) (conjugation: remote past tense)
muchamukura	you (plural) will wake up; rise (to un-v; reverse the action of v) (conjugation: future tense)
vanomukura	they wake up; rise (to un-v; reverse the action of v) (conjugation: present habitual tense)
varikumukura	they are currently wake up; rise (to un-v; reverse the action of v) (conjugation: progressive tense)
vamukura	they wake up; rise (to un-v; reverse the action of v) recently (conjugation: near past tense)
vakamukura	they wake up; rise (to un-v; reverse the action of v) (conjugation: remote past tense)
vachamukura	they will wake up; rise (to un-v; reverse the action of v) (conjugation: future tense)
ndinoshandwa	I work; labor (to be v-ed) (conjugation: present habitual tense)
ndirikushandwa	I am currently work; labor (to be v-ed) (conjugation: progressive tense)
ndashandwa	I work; labor (to be v-ed) recently (conjugation: near past tense)
ndakashandwa	I work; labor (to be v-ed) (conjugation: remote past tense)
ndichashandwa	I will work; labor (to be v-ed) (conjugation: future tense)
unoshandwa	you (singular) work; labor (to be v-ed) (conjugation: present habitual tense)
urikushandwa	you (singular) are currently work; labor (to be v-ed) (conjugation: progressive tense)
washandwa	you (singular) work; labor (to be v-ed) recently (conjugation: near past tense)
wakashandwa	you (singular) work; labor (to be v-ed) (conjugation: remote past tense)
uchashandwa	you (singular) will work; labor (to be v-ed) (conjugation: future tense)
anoshandwa	he/she/it work; labor (to be v-ed) (conjugation: present habitual tense)
arikushandwa	he/she/it is currently work; labor (to be v-ed) (conjugation: progressive tense)
ashandwa	he/she/it work; labor (to be v-ed) recently (conjugation: near past tense)
akashandwa	he/she/it work; labor (to be v-ed) (conjugation: remote past tense)
achashandwa	he/she/it will work; labor (to be v-ed) (conjugation: future tense)
tinoshandwa	we work; labor (to be v-ed) (conjugation: present habitual tense)
tirikushandwa	we are currently work; labor (to be v-ed) (conjugation: progressive tense)
tashandwa	we work; labor (to be v-ed) recently (conjugation: near past tense)
takashandwa	we work; labor (to be v-ed) (conjugation: remote past tense)
tichashandwa	we will work; labor (to be v-ed) (conjugation: future tense)
munoshandwa	you (plural) work; labor (to be v-ed) (conjugation: present habitual tense)
murikushandwa	you (plural) are currently work; labor (to be v-ed) (conjugation: progressive tense)
mashandwa	you (plural) work; labor (to be v-ed) recently (conjugation: near past tense)
makashandwa	you (plural) work; labor (to be v-ed) (conjugation: remote past tense)
muchashandwa	you (plural) will work; labor (to be v-ed) (conjugation: future tense)
vanoshandwa	they work; labor (to be v-ed) (conjugation: present habitual tense)
varikushandwa	they are currently work; labor (to be v-ed) (conjugation: progressive tense)
vashandwa	they work; labor (to be v-ed) recently (conjugation: near past tense)
vakashandwa	they work; labor (to be v-ed) (conjugation: remote past tense)
vachashandwa	they will work; labor (to be v-ed) (conjugation: future tense)
ndinoshandisa	I work; labor (to cause to v; make v) (conjugation: present habitual tense)
ndirikushandisa	I am currently work; labor (to cause to v; make v) (conjugation: progressive tense)
ndashandisa	I work; labor (to cause to v; make v) recently (conjugation: near past tense)
ndakashandisa	I work; labor (to cause to v; make v) (conjugation: remote past tense)
ndichashandisa	I will work; labor (to cause to v; make v) (conjugation: future tense)
unoshandisa	you (singular) work; labor (to cause to v; make v) (conjugation: present habitual tense)
urikushandisa	you (singular) are currently work; labor (to cause to v; make v) (conjugation: progressive tense)
washandisa	you (singular) work; labor (to cause to v; make v) recently (conjugation: near past tense)
wakashandisa	you (singular) work; labor (to cause to v; make v) (conjugation: remote past tense)
uchashandisa	you (singular) will work; labor (to cause to v; make v) (conjugation: future tense)
anoshandisa	he/she/it work; labor (to cause to v; make v) (conjugation: present habitual tense)
arikushandisa	he/she/it is currently work; labor (to cause to v; make v) (conjugation: progressive tense)
ashandisa	he/she/it work; labor (to cause to v; make v) recently (conjugation: near past tense)
akashandisa	he/she/it work; labor (to cause to v; make v) (conjugation: remote past tense)
achashandisa	he/she/it will work; labor (to cause to v; make v) (conjugation: future tense)
tinoshandisa	we work; labor (to cause to v; make v) (conjugation: present habitual tense)
tirikushandisa	we are currently work; labor (to cause to v; make v) (conjugation: progressive tense)
tashandisa	we work; labor (to cause to v; make v) recently (conjugation: near past tense)
takashandisa	we work; labor (to cause to v; make v) (conjugation: remote past tense)
tichashandisa	we will work; labor (to cause to v; make v) (conjugation: future tense)
munoshandisa	you (plural) work; labor (to cause to v; make v) (conjugation: present habitual tense)
murikushandisa	you (plural) are currently work; labor (to cause to v; make v) (conjugation: progressive tense)
mashandisa	you (plural) work; labor (to cause to v; make v) recently (conjugation: near past tense)
makashandisa	you (plural) work; labor (to cause to v; make v) (conjugation: remote past tense)
muchashandisa	you (plural) will work; labor (to cause to v; make v) (conjugation: future tense)
vanoshandisa	they work; labor (to cause to v; make v) (conjugation: present habitual tense)
varikushandisa	they are currently work; labor (to cause to v; make v) (conjugation: progressive tense)
vashandisa	they work; labor (to cause to v; make v) recently (conjugation: near past tense)
vakashandisa	they work; labor (to cause to v; make v) (conjugation: remote past tense)
vachashandisa	they will work; labor (to cause to v; make v) (conjugation: future tense)
ndinoshandana	I work; labor (to v each other) (conjugation: present habitual tense)
ndirikushandana	I am currently work; labor (to v each other) (conjugation: progressive tense)
ndashandana	I work; labor (to v each other) recently (conjugation: near past tense)
ndakashandana	I work; labor (to v each other) (conjugation: remote past tense)
ndichashandana	I will work; labor (to v each other) (conjugation: future tense)
unoshandana	you (singular) work; labor (to v each other) (conjugation: present habitual tense)
urikushandana	you (singular) are currently work; labor (to v each other) (conjugation: progressive tense)
washandana	you (singular) work; labor (to v each other) recently (conjugation: near past tense)
wakashandana	you (singular) work; labor (to v each other) (conjugation: remote past tense)
uchashandana	you (singular) will work; labor (to v each other) (conjugation: future tense)
anoshandana	he/she/it work; labor (to v each other) (conjugation: present habitual tense)
arikushandana	he/she/it is currently work; labor (to v each other) (conjugation: progressive tense)
ashandana	he/she/it work; labor (to v each other) recently (conjugation: near past tense)
akashandana	he/she/it work; labor (to v each other) (conjugation: remote past tense)
achashandana	he/she/it will work; labor (to v each other) (conjugation: future tense)
tinoshandana	we work; labor (to v each other) (conjugation: present habitual tense)
tirikushandana	we are currently work; labor (to v each other) (conjugation: progressive tense)
tashandana	we work; labor (to v each other) recently (conjugation: near past tense)
takashandana	we work; labor (to v each other) (conjugation: remote past tense)
tichashandana	we will work; labor (to v each other) (conjugation: future tense)
munoshandana	you (plural) work; labor (to v each other) (conjugation: present habitual tense)
murikushandana	you (plural) are currently work; labor (to v each other) (conjugation: progressive tense)
mashandana	you (plural) work; labor (to v each other) recently (conjugation: near past tense)
makashandana	you (plural) work; labor (to v each other) (conjugation: remote past tense)
muchashandana	you (plural) will work; labor (to v each other) (conjugation: future tense)
vanoshandana	they work; labor (to v each other) (conjugation: present habitual tense)
varikushandana	they are currently work; labor (to v each other) (conjugation: progressive tense)
vashandana	they work; labor (to v each other) recently (conjugation: near past tense)
vakashandana	they work; labor (to v each other) (conjugation: remote past tense)
vachashandana	they will work; labor (to v each other) (conjugation: future tense)
ndinoshandira	I work; labor (to v for / at / on behalf of) (conjugation: present habitual tense)
ndirikushandira	I am currently work; labor (to v for / at / on behalf of) (conjugation: progressive tense)
ndashandira	I work; labor (to v for / at / on behalf of) recently (conjugation: near past tense)
ndakashandira	I work; labor (to v for / at / on behalf of) (conjugation: remote past tense)
ndichashandira	I will work; labor (to v for / at / on behalf of) (conjugation: future tense)
unoshandira	you (singular) work; labor (to v for / at / on behalf of) (conjugation: present habitual tense)
urikushandira	you (singular) are currently work; labor (to v for / at / on behalf of) (conjugation: progressive tense)
washandira	you (singular) work; labor (to v for / at / on behalf of) recently (conjugation: near past tense)
wakashandira	you (singular) work; labor (to v for / at / on behalf of) (conjugation: remote past tense)
uchashandira	you (singular) will work; labor (to v for / at / on behalf of) (conjugation: future tense)
anoshandira	he/she/it work; labor (to v for / at / on behalf of) (conjugation: present habitual tense)
arikushandira	he/she/it is currently work; labor (to v for / at / on behalf of) (conjugation: progressive tense)
ashandira	he/she/it work; labor (to v for / at / on behalf of) recently (conjugation: near past tense)
akashandira	he/she/it work; labor (to v for / at / on behalf of) (conjugation: remote past tense)
achashandira	he/she/it will work; labor (to v for / at / on behalf of) (conjugation: future tense)
tinoshandira	we work; labor (to v for / at / on behalf of) (conjugation: present habitual tense)
tirikushandira	we are currently work; labor (to v for / at / on behalf of) (conjugation: progressive tense)
tashandira	we work; labor (to v for / at / on behalf of) recently (conjugation: near past tense)
takashandira	we work; labor (to v for / at / on behalf of) (conjugation: remote past tense)
tichashandira	we will work; labor (to v for / at / on behalf of) (conjugation: future tense)
munoshandira	you (plural) work; labor (to v for / at / on behalf of) (conjugation: present habitual tense)
murikushandira	you (plural) are currently work; labor (to v for / at / on behalf of) (conjugation: progressive tense)
mashandira	you (plural) work; labor (to v for / at / on behalf of) recently (conjugation: near past tense)
makashandira	you (plural) work; labor (to v for / at / on behalf of) (conjugation: remote past tense)
muchashandira	you (plural) will work; labor (to v for / at / on behalf of) (conjugation: future tense)
vanoshandira	they work; labor (to v for / at / on behalf of) (conjugation: present habitual tense)
varikushandira	they are currently work; labor (to v for / at / on behalf of) (conjugation: progressive tense)
vashandira	they work; labor (to v for / at / on behalf of) recently (conjugation: near past tense)
vakashandira	they work; labor (to v for / at / on behalf of) (conjugation: remote past tense)
vachashandira	they will work; labor (to v for / at / on behalf of) (conjugation: future tense)
ndinoshandura	I work; labor (to un-v; reverse the action of v) (conjugation: present habitual tense)
ndirikushandura	I am currently work; labor (to un-v; reverse the action of v) (conjugation: progressive tense)
ndashandura	I work; labor (to un-v; reverse the action of v) recently (conjugation: near past tense)
ndakashandura	I work; labor (to un-v; reverse the action of v) (conjugation: remote past tense)
ndichashandura	I will work; labor (to un-v; reverse the action of v) (conjugation: future tense)
unoshandura	you (singular) work; labor (to un-v; reverse the action of v) (conjugation: present habitual tense)
urikushandura	you (singular) are currently work; labor (to un-v; reverse the action of v) (conjugation: progressive tense)
washandura	you (singular) work; labor (to un-v; reverse the action of v) recently (conjugation: near past tense)
wakashandura	you (singular) work; labor (to un-v; reverse the action of v) (conjugation: remote past tense)
uchashandura	you (singular) will work; labor (to un-v; reverse the action of v) (conjugation: future tense)
anoshandura	he/she/it work; labor (to un-v; reverse the action of v) (conjugation: present habitual tense)
arikushandura	he/she/it is currently work; labor (to un-v; reverse the action of v) (conjugation: progressive tense)
ashandura	he/she/it work; labor (to un-v; reverse the action of v) recently (conjugation: near past tense)
akashandura	he/she/it work; labor (to un-v; reverse the action of v) (conjugation: remote past tense)
achashandura	he/she/it will work; labor (to un-v; reverse the action of v) (conjugation: future tense)
tinoshandura	we work; labor (to un-v; reverse the action of v) (conjugation: present habitual tense)
tirikushandura	we are currently work; labor (to un-v; reverse the action of v) (conjugation: progressive tense)
tashandura	we work; labor (to un-v; reverse the action of v) recently (conjugation: near past tense)
takashandura	we work; labor (to un-v; reverse the action of v) (conjugation: remote past tense)
tichashandura	we will work; labor (to un-v; reverse the action of v) (conjugation: future tense)
munoshandura	you (plural) work; labor (to un-v; reverse the action of v) (conjugation: present habitual tense)
murikushandura	you (plural) are currently work; labor (to un-v; reverse the action of v) (conjugation: progressive tense)
mashandura	you (plural) work; labor (to un-v; reverse the action of v) recently (conjugation: near past tense)
makashandura	you (plural) work; labor (to un-v; reverse the action of v) (conjugation: remote past tense)
muchashandura	you (plural) will work; labor (to un-v; reverse the action of v) (conjugation: future tense)
vanoshandura	they work; labor (to un-v; reverse the action of v) (conjugation: present habitual tense)
varikushandura	they are currently work; labor (to un-v; reverse the action of v) (conjugation: progressive tense)
vashandura	they work; labor (to un-v; reverse the action of v) recently (conjugation: near past tense)
vakashandura	they work; labor (to un-v; reverse the action of v) (conjugation: remote past tense)
vachashandura	they will work; labor (to un-v; reverse the action of v) (conjugation: future tense)
ndinotambwa	I play; dance (to be v-ed) (conjugation: present habitual tense)
ndirikutambwa	I am currently play; dance (to be v-ed) (conjugation: progressive tense)
ndatambwa	I play; dance (to be v-ed) recently (conjugation: near past tense)
ndakatambwa	I play; dance (to be v-ed) (conjugation: remote past tense)
ndichatambwa	I will play; dance (to be v-ed) (conjugation: future tense)
unotambwa	you (singular) play; dance (to be v-ed) (conjugation: present habitual tense)
urikutambwa	you (singular) are currently play; dance (to be v-ed) (conjugation: progressive tense)
watambwa	you (singular) play; dance (to be v-ed) recently (conjugation: near past tense)
wakatambwa	you (singular) play; dance (to be v-ed) (conjugation: remote past tense)
uchatambwa	you (singular) will play; dance (to be v-ed) (conjugation: future tense)
anotambwa	he/she/it play; dance (to be v-ed) (conjugation: present habitual tense)
arikutambwa	he/she/it is currently play; dance (to be v-ed) (conjugation: progressive tense)
atambwa	he/she/it play; dance (to be v-ed) recently (conjugation: near past tense)
akatambwa	he/she/it play; dance (to be v-ed) (conjugation: remote past tense)
achatambwa	he/she/it will play; dance (to be v-ed) (conjugation: future tense)
tinotambwa	we play; dance (to be v-ed) (conjugation: present habitual tense)
tirikutambwa	we are currently play; dance (to be v-ed) (conjugation: progressive tense)
tatambwa	we play; dance (to be v-ed) recently (conjugation: near past tense)
takatambwa	we play; dance (to be v-ed) (conjugation: remote past tense)
tichatambwa	we will play; dance (to be v-ed) (conjugation: future tense)
munotambwa	you (plural) play; dance (to be v-ed) (conjugation: present habitual tense)
murikutambwa	you (plural) are currently play; dance (to be v-ed) (conjugation: progressive tense)
matambwa	you (plural) play; dance (to be v-ed) recently (conjugation: near past tense)
makatambwa	you (plural) play; dance (to be v-ed) (conjugation: remote past tense)
muchatambwa	you (plural) will play; dance (to be v-ed) (conjugation: future tense)
vanotambwa	they play; dance (to be v-ed) (conjugation: present habitual tense)
varikutambwa	they are currently play; dance (to be v-ed) (conjugation: progressive tense)
vatambwa	they play; dance (to be v-ed) recently (conjugation: near past tense)
vakatambwa	they play; dance (to be v-ed) (conjugation: remote past tense)
vachatambwa	they will play; dance (to be v-ed) (conjugation: future tense)
ndinotambisa	I play; dance (to cause to v; make v) (conjugation: present habitual tense)
ndirikutambisa	I am currently play; dance (to cause to v; make v) (conjugation: progressive tense)
ndatambisa	I play; dance (to cause to v; make v) recently (conjugation: near past tense)
ndakatambisa	I play; dance (to cause to v; make v) (conjugation: remote past tense)
ndichatambisa	I will play; dance (to cause to v; make v) (conjugation: future tense)
unotambisa	you (singular) play; dance (to cause to v; make v) (conjugation: present habitual tense)
urikutambisa	you (singular) are currently play; dance (to cause to v; make v) (conjugation: progressive tense)
watambisa	you (singular) play; dance (to cause to v; make v) recently (conjugation: near past tense)
wakatambisa	you (singular) play; dance (to cause to v; make v) (conjugation: remote past tense)
uchatambisa	you (singular) will play; dance (to cause to v; make v) (conjugation: future tense)
anotambisa	he/she/it play; dance (to cause to v; make v) (conjugation: present habitual tense)
arikutambisa	he/she/it is currently play; dance (to cause to v; make v) (conjugation: progressive tense)
atambisa	he/she/it play; dance (to cause to v; make v) recently (conjugation: near past tense)
akatambisa	he/she/it play; dance (to cause to v; make v) (conjugation: remote past tense)
achatambisa	he/she/it will play; dance (to cause to v; make v) (conjugation: future tense)
tinotambisa	we play; dance (to cause to v; make v) (conjugation: present habitual tense)
tirikutambisa	we are currently play; dance (to cause to v; make v) (conjugation: progressive tense)
tatambisa	we play; dance (to cause to v; make v) recently (conjugation: near past tense)
takatambisa	we play; dance (to cause to v; make v) (conjugation: remote past tense)
tichatambisa	we will play; dance (to cause to v; make v) (conjugation: future tense)
munotambisa	you (plural) play; dance (to cause to v; make v) (conjugation: present habitual tense)
murikutambisa	you (plural) are currently play; dance (to cause to v; make v) (conjugation: progressive tense)
matambisa	you (plural) play; dance (to cause to v; make v) recently (conjugation: near past tense)
makatambisa	you (plural) play; dance (to cause to v; make v) (conjugation: remote past tense)
muchatambisa	you (plural) will play; dance (to cause to v; make v) (conjugation: future tense)
vanotambisa	they play; dance (to cause to v; make v) (conjugation: present habitual tense)
varikutambisa	they are currently play; dance (to cause to v; make v) (conjugation: progressive tense)
vatambisa	they play; dance (to cause to v; make v) recently (conjugation: near past tense)
vakatambisa	they play; dance (to cause to v; make v) (conjugation: remote past tense)
vachatambisa	they will play; dance (to cause to v; make v) (conjugation: future tense)
ndinotambana	I play; dance (to v each other) (conjugation: present habitual tense)
ndirikutambana	I am currently play; dance (to v each other) (conjugation: progressive tense)
ndatambana	I play; dance (to v each other) recently (conjugation: near past tense)
ndakatambana	I play; dance (to v each other) (conjugation: remote past tense)
ndichatambana	I will play; dance (to v each other) (conjugation: future tense)
unotambana	you (singular) play; dance (to v each other) (conjugation: present habitual tense)
urikutambana	you (singular) are currently play; dance (to v each other) (conjugation: progressive tense)
watambana	you (singular) play; dance (to v each other) recently (conjugation: near past tense)
wakatambana	you (singular) play; dance (to v each other) (conjugation: remote past tense)
uchatambana	you (singular) will play; dance (to v each other) (conjugation: future tense)
anotambana	he/she/it play; dance (to v each other) (conjugation: present habitual tense)
arikutambana	he/she/it is currently play; dance (to v each other) (conjugation: progressive tense)
atambana	he/she/it play; dance (to v each other) recently (conjugation: near past tense)
akatambana	he/she/it play; dance (to v each other) (conjugation: remote past tense)
achatambana	he/she/it will play; dance (to v each other) (conjugation: future tense)
tinotambana	we play; dance (to v each other) (conjugation: present habitual tense)
tirikutambana	we are currently play; dance (to v each other) (conjugation: progressive tense)
tatambana	we play; dance (to v each other) recently (conjugation: near past tense)
takatambana	we play; dance (to v each other) (conjugation: remote past tense)
tichatambana	we will play; dance (to v each other) (conjugation: future tense)
munotambana	you (plural) play; dance (to v each other) (conjugation: present habitual tense)
murikutambana	you (plural) are currently play; dance (to v each other) (conjugation: progressive tense)
matambana	you (plural) play; dance (to v each other) recently (conjugation: near past tense)
makatambana	you (plural) play; dance (to v each other) (conjugation: remote past tense)
muchatambana	you (plural) will play; dance (to v each other) (conjugation: future tense)
vanotambana	they play; dance (to v each other) (conjugation: present habitual tense)
varikutambana	they are currently play; dance (to v each other) (conjugation: progressive tense)
vatambana	they play; dance (to v each other) recently (conjugation: near past tense)
vakatambana	they play; dance (to v each other) (conjugation: remote past tense)
vachatambana	they will play; dance (to v each other) (conjugation: future tense)
ndinotambira	I play; dance (to v for / at / on behalf of) (conjugation: present habitual tense)
ndirikutambira	I am currently play; dance (to v for / at / on behalf of) (conjugation: progressive tense)
ndatambira	I play; dance (to v for / at / on behalf of) recently (conjugation: near past tense)
ndakatambira	I play; dance (to v for / at / on behalf of) (conjugation: remote past tense)
ndichatambira	I will play; dance (to v for / at / on behalf of) (conjugation: future tense)
unotambira	you (singular) play; dance (to v for / at / on behalf of) (conjugation: present habitual tense)
urikutambira	you (singular) are currently play; dance (to v for / at / on behalf of) (conjugation: progressive tense)
watambira	you (singular) play; dance (to v for / at / on behalf of) recently (conjugation: near past tense)
wakatambira	you (singular) play; dance (to v for / at / on behalf of) (conjugation: remote past tense)
uchatambira	you (singular) will play; dance (to v for / at / on behalf of) (conjugation: future tense)
anotambira	he/she/it play; dance (to v for / at / on behalf of) (conjugation: present habitual tense)
arikutambira	he/she/it is currently play; dance (to v for / at / on behalf of) (conjugation: progressive tense)
atambira	he/she/it play; dance (to v for / at / on behalf of) recently (conjugation: near past tense)
akatambira	he/she/it play; dance (to v for / at / on behalf of) (conjugation: remote past tense)
achatambira	he/she/it will play; dance (to v for / at / on behalf of) (conjugation: future tense)
tinotambira	we play; dance (to v for / at / on behalf of) (conjugation: present habitual tense)
tirikutambira	we are currently play; dance (to v for / at / on behalf of) (conjugation: progressive tense)
tatambira	we play; dance (to v for / at / on behalf of) recently (conjugation: near past tense)
takatambira	we play; dance (to v for / at / on behalf of) (conjugation: remote past tense)
tichatambira	we will play; dance (to v for / at / on behalf of) (conjugation: future tense)
munotambira	you (plural) play; dance (to v for / at / on behalf of) (conjugation: present habitual tense)
murikutambira	you (plural) are currently play; dance (to v for / at / on behalf of) (conjugation: progressive tense)
matambira	you (plural) play; dance (to v for / at / on behalf of) recently (conjugation: near past tense)
makatambira	you (plural) play; dance (to v for / at / on behalf of) (conjugation: remote past tense)
muchatambira	you (plural) will play; dance (to v for / at / on behalf of) (conjugation: future tense)
vanotambira	they play; dance (to v for / at / on behalf of) (conjugation: present habitual tense)
varikutambira	they are currently play; dance (to v for / at / on behalf of) (conjugation: progressive tense)
vatambira	they play; dance (to v for / at / on behalf of) recently (conjugation: near past tense)
vakatambira	they play; dance (to v for / at / on behalf of) (conjugation: remote past tense)
vachatambira	they will play; dance (to v for / at / on behalf of) (conjugation: future tense)
ndinotambura	I play; dance (to un-v; reverse the action of v) (conjugation: present habitual tense)
ndirikutambura	I am currently play; dance (to un-v; reverse the action of v) (conjugation: progressive tense)
ndatambura	I play; dance (to un-v; reverse the action of v) recently (conjugation: near past tense)
ndakatambura	I play; dance (to un-v; reverse the action of v) (conjugation: remote past tense)
ndichatambura	I will play; dance (to un-v; reverse the action of v) (conjugation: future tense)
unotambura	you (singular) play; dance (to un-v; reverse the action of v) (conjugation: present habitual tense)
urikutambura	you (singular) are currently play; dance (to un-v; reverse the action of v) (conjugation: progressive tense)
watambura	you (singular) play; dance (to un-v; reverse the action of v) recently (conjugation: near past tense)
wakatambura	you (singular) play; dance (to un-v; reverse the action of v) (conjugation: remote past tense)
uchatambura	you (singular) will play; dance (to un-v; reverse the action of v) (conjugation: future tense)
anotambura	he/she/it play; dance (to un-v; reverse the action of v) (conjugation: present habitual tense)
arikutambura	he/she/it is currently play; dance (to un-v; reverse the action of v) (conjugation: progressive tense)
atambura	he/she/it play; dance (to un-v; reverse the action of v) recently (conjugation: near past tense)
akatambura	he/she/it play; dance (to un-v; reverse the action of v) (conjugation: remote past tense)
achatambura	he/she/it will play; dance (to un-v; reverse the action of v) (conjugation: future tense)
tinotambura	we play; dance (to un-v; reverse the action of v) (conjugation: present habitual tense)
tirikutambura	we are currently play; dance (to un-v; reverse the action of v) (conjugation: progressive tense)
tatambura	we play; dance (to un-v; reverse the action of v) recently (conjugation: near past tense)
takatambura	we play; dance (to un-v; reverse the action of v) (conjugation: remote past tense)
tichatambura	we will play; dance (to un-v; reverse the action of v) (conjugation: future tense)
munotambura	you (plural) play; dance (to un-v; reverse the action of v) (conjugation: present habitual tense)
murikutambura	you (plural) are currently play; dance (to un-v; reverse the action of v) (conjugation: progressive tense)
matambura	you (plural) play; dance (to un-v; reverse the action of v) recently (conjugation: near past tense)
makatambura	you (plural) play; dance (to un-v; reverse the action of v) (conjugation: remote past tense)
muchatambura	you (plural) will play; dance (to un-v; reverse the action of v) (conjugation: future tense)
vanotambura	they play; dance (to un-v; reverse the action of v) (conjugation: present habitual tense)
varikutambura	they are currently play; dance (to un-v; reverse the action of v) (conjugation: progressive tense)
vatambura	they play; dance (to un-v; reverse the action of v) recently (conjugation: near past tense)
vakatambura	they play; dance (to un-v; reverse the action of v) (conjugation: remote past tense)
vachatambura	they will play; dance (to un-v; reverse the action of v) (conjugation: future tense)
ndinoimbwa	I sing (to be v-ed) (conjugation: present habitual tense)
ndirikuimbwa	I am currently sing (to be v-ed) (conjugation: progressive tense)
ndaimbwa	I sing (to be v-ed) recently (conjugation: near past tense)
ndakaimbwa	I sing (to be v-ed) (conjugation: remote past tense)
ndichaimbwa	I will sing (to be v-ed) (conjugation: future tense)
unoimbwa	you (singular) sing (to be v-ed) (conjugation: present habitual tense)
urikuimbwa	you (singular) are currently sing (to be v-ed) (conjugation: progressive tense)
waimbwa	you (singular) sing (to be v-ed) recently (conjugation: near past tense)
wakaimbwa	you (singular) sing (to be v-ed) (conjugation: remote past tense)
uchaimbwa	you (singular) will sing (to be v-ed) (conjugation: future tense)
anoimbwa	he/she/it sing (to be v-ed) (conjugation: present habitual tense)
arikuimbwa	he/she/it is currently sing (to be v-ed) (conjugation: progressive tense)
aimbwa	he/she/it sing (to be v-ed) recently (conjugation: near past tense)
akaimbwa	he/she/it sing (to be v-ed) (conjugation: remote past tense)
achaimbwa	he/she/it will sing (to be v-ed) (conjugation: future tense)
tinoimbwa	we sing (to be v-ed) (conjugation: present habitual tense)
tirikuimbwa	we are currently sing (to be v-ed) (conjugation: progressive tense)
taimbwa	we sing (to be v-ed) recently (conjugation: near past tense)
takaimbwa	we sing (to be v-ed) (conjugation: remote past tense)
